users,batch_size,requests,failures,rps,median_ms,p95_ms,p99_ms
1,1,3300,0,28.638513897264367,70.0,76.0,79.0
1,2,1624,0,14.103120244191421,72.0,78.0,84.0
1,5,1574,0,13.671063967016797,74.0,81.0,87.0
1,10,1514,0,13.133087020126467,76.0,86.0,92.0
1,20,1397,0,12.12497243065317,82.0,94.0,100.0
5,1,8366,0,72.6447107861954,68.0,88.0,99.0
5,2,5553,0,48.23492635752007,110.0,150.0,170.0
5,5,8030,0,69.71521454226243,69.0,94.0,100.0
5,10,6756,0,58.61226283631939,85.0,110.0,120.0
5,20,7044,0,61.09347917207396,76.0,110.0,120.0
10,1,13466,0,116.89066159171401,84.0,110.0,120.0
10,2,11023,0,95.67835446901786,98.0,150.0,170.0
10,5,11156,0,96.84823190558556,100.0,160.0,180.0
10,10,10635,0,92.34634216224944,89.0,180.0,190.0
10,20,8795,0,76.32925261655774,130.0,210.0,240.0
25,1,20519,0,177.9714791802932,140.0,190.0,210.0
25,2,17134,0,148.73917378106955,110.0,360.0,400.0
25,5,16091,0,140.60289857125568,120.0,360.0,390.0
25,10,14826,0,128.69586092648862,200.0,260.0,280.0
25,20,11922,0,103.525198265293,220.0,360.0,390.0
50,1,23658,0,205.33731692230842,200.0,390.0,430.0
50,2,22645,0,196.61018888371996,250.0,350.0,390.0
50,5,19245,0,166.94561084935071,250.0,450.0,500.0
50,10,16081,0,139.54405926102373,350.0,490.0,540.0
50,20,12646,0,109.68642381149478,480.0,620.0,700.0
