users,batch_size,requests,failures,rps,median_ms,p95_ms,p99_ms
1,1,8061,0,69.96041315578171,14.0,17.0,21.0
1,2,7710,0,66.92846292030686,14.0,18.0,23.0
1,5,6864,0,59.545437752072516,16.0,22.0,27.0
1,10,5782,0,50.17147123082698,19.0,27.0,32.0
1,20,4489,0,38.95661931498078,25.0,34.0,40.0
5,1,6023,0,52.278957164155706,85.0,190.0,260.0
5,2,5490,0,47.642409357490656,93.0,200.0,270.0
5,5,5134,0,44.55897965873194,100.0,200.0,280.0
5,10,4295,0,37.266280262923395,120.0,240.0,330.0
5,20,3476,0,30.191210689461514,150.0,290.0,400.0
10,1,3853,0,33.41496872641475,280.0,560.0,710.0
10,2,3509,0,30.451944439842524,310.0,570.0,700.0
10,5,3233,0,28.039795396236457,340.0,650.0,790.0
10,10,2943,0,25.58152556364443,370.0,700.0,850.0
10,20,2111,0,18.304575214047127,520.0,950.0,1100.0
25,1,2740,0,23.791881484376734,1000.0,1600.0,1900.0
25,2,2513,0,21.820400571648346,1100.0,1700.0,2100.0
25,5,2232,0,19.343262967795503,1300.0,1900.0,2100.0
25,10,1894,0,16.414155336649507,1500.0,2300.0,2700.0
25,20,1842,0,15.976030259648283,1500.0,2700.0,3200.0
50,1,2682,0,23.26380131441663,2100.0,3000.0,3400.0
50,2,2618,0,22.74267043953737,2100.0,3200.0,3600.0
50,5,2136,0,18.518967669394858,2600.0,3800.0,4200.0
50,10,1789,0,15.575942350539714,3100.0,4300.0,4800.0
50,20,1431,0,12.423219791723916,3900.0,5500.0,6100.0
