users,batch_size,requests,failures,rps,median_ms,p95_ms,p99_ms
1,1,612,0,5.310037758983862,190.0,210.0,220.0
1,2,634,0,5.506409518268402,180.0,200.0,210.0
1,5,618,0,5.358638990802397,190.0,200.0,210.0
1,10,580,0,5.040949451324759,200.0,210.0,220.0
1,20,518,0,4.501771760959564,220.0,240.0,270.0
5,1,3054,0,26.483202719071873,190.0,220.0,250.0
5,2,3126,0,27.136170169893106,180.0,210.0,230.0
5,5,3007,0,26.090302197747754,190.0,220.0,240.0
5,10,2372,0,20.584865242467504,220.0,280.0,930.0
5,20,527,0,4.574991717238194,930.0,2700.0,3300.0
10,1,335,0,2.9169666171109547,3500.0,5600.0,6700.0
10,2,312,0,2.709267797365478,3800.0,5900.0,6500.0
10,5,280,0,2.439383226823791,4000.0,7300.0,8700.0
10,10,232,0,2.0141287616490557,5300.0,7400.0,8000.0
10,20,173,0,1.5150907405114116,6600.0,9400.0,9800.0
25,1,320,0,2.777518525220886,8500.0,13000.0,15000.0
25,2,322,0,2.803714246688108,8600.0,13000.0,14000.0
25,5,291,0,2.530874131417577,9900.0,14000.0,18000.0
25,10,253,0,2.195190055544679,11000.0,17000.0,20000.0
25,20,221,0,1.9188307676144605,12000.0,17000.0,19000.0
50,1,426,0,3.6997192054110277,13000.0,18000.0,21000.0
50,2,440,0,3.8501354724450976,11000.0,19000.0,22000.0
50,5,381,0,3.3425244849886075,14000.0,20000.0,22000.0
50,10,362,0,3.147050939365258,15000.0,21000.0,22000.0
50,20,284,0,2.489654843739425,17000.0,24000.0,28000.0
