Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786559788,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786559789,5,,Aggregated,0.000000,0.000000,230,230,250,250,310,320,320,320,320,320,320,20,0,220,229.50665105017833,156.87157696811482,322.99915998009965,430.1
1786559790,10,,Aggregated,0.000000,0.000000,230,240,250,260,310,320,810,810,810,810,810,23,0,230,258.57534882632774,156.87157696811482,806.010808038991,429.69565217391306
1786559791,15,,Aggregated,0.000000,0.000000,230,240,260,310,320,810,1700,1700,1700,1700,1700,24,0,230,320.4054364590168,156.87157696811482,1742.4974520108663,429.7083333333333
1786559792,20,,Aggregated,0.000000,0.000000,230,240,260,310,320,810,1700,1700,1700,1700,1700,24,0,230,320.4054364590168,156.87157696811482,1742.4974520108663,429.7083333333333
1786559793,25,,Aggregated,0.000000,0.000000,230,240,260,310,320,810,1700,1700,1700,1700,1700,24,0,230,320.4054364590168,156.87157696811482,1742.4974520108663,429.7083333333333
1786559794,30,,Aggregated,8.000000,0.000000,230,250,260,310,810,1700,4800,4800,4800,4800,4800,25,0,230,499.02315356070176,156.87157696811482,4785.84836400114,429.84
1786559795,35,,Aggregated,6.000000,0.000000,230,250,310,320,4800,5600,5700,5700,5700,5700,5700,27,0,230,880.6456691473378,156.87157696811482,5717.488761001732,429.81481481481484
1786559796,40,,Aggregated,4.800000,0.000000,240,260,320,810,5600,5700,6400,6400,6400,6400,6400,28,0,230,1077.5926014632985,156.87157696811482,6395.159773994237,429.57142857142856
1786559797,45,,Aggregated,4.800000,0.000000,240,260,320,810,5600,5700,6400,6400,6400,6400,6400,28,0,230,1077.5926014632985,156.87157696811482,6395.159773994237,429.57142857142856
1786559798,50,,Aggregated,3.500000,0.000000,240,310,320,1700,5700,6400,8700,8700,8700,8700,8700,29,0,240,1340.3146777920233,156.87157696811482,8696.532814996317,429.58620689655174
1786559799,50,,Aggregated,3.111111,0.000000,260,1700,6400,7500,8700,9800,10000,10000,10000,10000,10000,36,0,250,2787.8714710241184,156.87157696811482,9997.38273397088,429.1388888888889
1786559800,50,,Aggregated,3.111111,0.000000,260,4800,6400,7500,8700,9800,10000,10000,10000,10000,10000,37,0,260,2914.840888725971,156.87157696811482,9997.38273397088,428.9189189189189
1786559801,50,,Aggregated,3.111111,0.000000,260,4800,6400,7500,8700,9800,10000,10000,10000,10000,10000,37,0,260,2914.840888725971,156.87157696811482,9997.38273397088,428.9189189189189
1786559802,50,,Aggregated,3.111111,0.000000,260,4800,6400,7500,8700,9800,10000,10000,10000,10000,10000,37,0,260,2914.840888725971,156.87157696811482,9997.38273397088,428.9189189189189
1786559803,50,,Aggregated,3.111111,0.000000,260,4800,6400,7500,8700,9800,10000,10000,10000,10000,10000,37,0,260,2914.840888725971,156.87157696811482,9997.38273397088,428.9189189189189
1786559804,50,,Aggregated,1.300000,0.000000,310,5600,7500,8000,9400,10000,13000,13000,13000,13000,13000,38,0,260,3171.7994320497382,156.87157696811482,12679.265535029117,428.7368421052632
1786559805,50,,Aggregated,1.300000,0.000000,310,5600,7500,8400,9800,13000,14000,14000,14000,14000,14000,39,0,310,3438.62385115025,156.87157696811482,13577.951776969712,428.7435897435897
1786559806,50,,Aggregated,1.300000,0.000000,310,6400,8000,8400,10000,13000,15000,15000,15000,15000,15000,41,0,310,3890.8113786544673,156.87157696811482,14582.334509992506,428.8780487804878
1786559807,50,,Aggregated,1.300000,0.000000,320,7500,8400,9400,13000,14000,15000,15000,15000,15000,15000,43,0,320,4366.288014763403,156.87157696811482,15484.579359006602,428.8837209302326
1786559808,50,,Aggregated,1.200000,0.000000,810,7500,8700,9800,13000,14000,15000,15000,15000,15000,15000,44,0,320,4546.080876315086,156.87157696811482,15484.579359006602,428.8181818181818
1786559809,50,,Aggregated,1.300000,0.000000,4800,8400,10000,13000,15000,17000,18000,18000,18000,18000,18000,49,0,4800,5695.750919629211,156.87157696811482,18386.44693599781,428.51020408163265
1786559810,50,,Aggregated,1.600000,0.000000,7500,11000,13000,13000,15000,18000,18000,20000,20000,20000,20000,57,0,7500,6994.246628224286,156.87157696811482,19580.45178698376,428.5964912280702
1786559811,50,,Aggregated,1.600000,0.000000,7500,12000,13000,14000,16000,18000,18000,20000,20000,20000,20000,59,0,7500,7234.450449115376,156.87157696811482,19580.45178698376,428.6271186440678
1786559812,50,,Aggregated,1.400000,0.000000,8400,13000,14000,15000,18000,19000,19000,20000,20000,20000,20000,64,0,8400,8122.607884824902,156.87157696811482,19580.45178698376,428.40625
1786559813,50,,Aggregated,2.200000,0.000000,9400,13000,15000,15000,18000,19000,20000,22000,22000,22000,22000,68,0,8700,8661.249113173279,156.87157696811482,22486.562658974435,428.63235294117646
1786559814,50,,Aggregated,2.200000,0.000000,10000,13000,15000,17000,19000,20000,22000,22000,22000,22000,22000,72,0,9800,9202.410302343196,156.87157696811482,22486.562658974435,428.4861111111111
1786559815,50,,Aggregated,3.000000,0.000000,11000,14000,16000,17000,19000,21000,22000,22000,22000,22000,22000,77,0,11000,9683.750847450536,156.87157696811482,22486.562658974435,428.38961038961037
1786559816,50,,Aggregated,3.000000,0.000000,11000,14000,17000,18000,20000,21000,22000,22000,22000,22000,22000,79,0,11000,9944.550554477315,156.87157696811482,22486.562658974435,428.37974683544303
1786559817,50,,Aggregated,3.400000,0.000000,12000,15000,17000,18000,20000,21000,22000,22000,22000,22000,22000,83,0,12000,10359.214685911997,156.87157696811482,22486.562658974435,428.48192771084337
1786559818,50,,Aggregated,3.800000,0.000000,12000,15000,18000,19000,20000,21000,22000,22000,22000,22000,22000,88,0,12000,10591.263537974473,156.87157696811482,22486.562658974435,428.5
1786559819,50,,Aggregated,4.000000,0.000000,12000,15000,18000,19000,20000,21000,22000,22000,22000,22000,22000,93,0,12000,10925.846577889877,156.87157696811482,22486.562658974435,428.5483870967742
1786559820,50,,Aggregated,4.000000,0.000000,12000,15000,18000,19000,20000,22000,22000,22000,22000,22000,22000,95,0,12000,11144.373995923486,156.87157696811482,22486.562658974435,428.46315789473687
1786559821,50,,Aggregated,4.300000,0.000000,12000,15000,18000,19000,20000,22000,22000,22000,22000,22000,22000,96,0,12000,11146.061642299173,156.87157696811482,22486.562658974435,428.5104166666667
1786559822,50,,Aggregated,4.300000,0.000000,12000,15000,18000,19000,20000,22000,22000,22000,22000,22000,22000,97,0,12000,11167.651365182875,156.87157696811482,22486.562658974435,428.5154639175258
1786559823,50,,Aggregated,4.000000,0.000000,12000,15000,18000,19000,20000,22000,22000,22000,22000,22000,22000,98,0,12000,11194.518049935958,156.87157696811482,22486.562658974435,428.5204081632653
1786559824,50,,Aggregated,3.700000,0.000000,12000,15000,18000,19000,20000,22000,22000,22000,22000,22000,22000,99,0,12000,11221.311171098161,156.87157696811482,22486.562658974435,428.4949494949495
1786559825,50,,Aggregated,3.100000,0.000000,13000,15000,18000,19000,20000,21000,22000,22000,22000,22000,22000,103,0,13000,11361.009651725519,156.87157696811482,22486.562658974435,428.3592233009709
1786559826,50,,Aggregated,3.100000,0.000000,13000,15000,18000,19000,20000,21000,22000,22000,22000,22000,22000,106,0,13000,11481.716096450087,156.87157696811482,22486.562658974435,428.27358490566036
1786559827,50,,Aggregated,2.500000,0.000000,13000,16000,18000,19000,20000,21000,22000,22000,22000,22000,22000,111,0,13000,11699.64922772645,156.87157696811482,22486.562658974435,428.2972972972973
1786559828,50,,Aggregated,2.500000,0.000000,13000,16000,17000,19000,20000,21000,22000,22000,22000,22000,22000,113,0,13000,11760.45522565152,156.87157696811482,22486.562658974435,428.2300884955752
1786559829,50,,Aggregated,2.600000,0.000000,13000,16000,18000,19000,20000,21000,22000,22000,22000,22000,22000,119,0,13000,11933.68351577826,156.87157696811482,22486.562658974435,428.39495798319325
1786559830,50,,Aggregated,2.600000,0.000000,13000,16000,17000,18000,20000,21000,22000,22000,22000,22000,22000,123,0,13000,11991.256451574003,156.87157696811482,22486.562658974435,428.4471544715447
1786559831,50,,Aggregated,2.600000,0.000000,13000,16000,17000,18000,20000,21000,22000,22000,22000,22000,22000,125,0,13000,12077.803216028493,156.87157696811482,22486.562658974435,428.312
1786559832,50,,Aggregated,2.500000,0.000000,13000,16000,18000,18000,20000,21000,22000,22000,22000,22000,22000,127,0,13000,12136.367769327058,156.87157696811482,22486.562658974435,428.37007874015745
1786559833,50,,Aggregated,2.900000,0.000000,14000,16000,18000,18000,20000,21000,22000,22000,22000,22000,22000,132,0,14000,12297.218389950682,156.87157696811482,22486.562658974435,428.219696969697
1786559834,50,,Aggregated,3.000000,0.000000,14000,16000,18000,18000,20000,21000,22000,22000,22000,22000,22000,133,0,14000,12371.158271965824,156.87157696811482,22486.562658974435,428.18045112781954
1786559835,50,,Aggregated,3.300000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,138,0,14000,12551.443861901635,156.87157696811482,22486.562658974435,428.15942028985506
1786559836,50,,Aggregated,3.300000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,141,0,14000,12660.387128343846,156.87157696811482,22486.562658974435,428.21276595744683
1786559837,50,,Aggregated,3.300000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,143,0,14000,12735.476474940348,156.87157696811482,22486.562658974435,428.1958041958042
1786559838,50,,Aggregated,3.500000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,147,0,14000,12826.097645472932,156.87157696811482,22486.562658974435,428.2312925170068
1786559839,50,,Aggregated,3.400000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,153,0,14000,12898.24211616655,156.87157696811482,22486.562658974435,428.30065359477123
1786559840,50,,Aggregated,3.200000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,157,0,14000,12944.48020136626,156.87157696811482,22486.562658974435,428.2738853503185
1786559841,50,,Aggregated,3.200000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,159,0,14000,12970.634419940348,156.87157696811482,22486.562658974435,428.23899371069183
1786559842,50,,Aggregated,3.400000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,163,0,14000,13021.214971573812,156.87157696811482,22486.562658974435,428.28834355828224
1786559843,50,,Aggregated,3.300000,0.000000,14000,17000,18000,19000,20000,21000,22000,22000,22000,22000,22000,165,0,14000,13038.552392979336,156.87157696811482,22486.562658974435,428.26060606060605
1786559844,50,,Aggregated,3.400000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,171,0,14000,13076.69687683984,156.87157696811482,22486.562658974435,428.2280701754386
1786559845,50,,Aggregated,3.400000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,174,0,14000,13108.907124187514,156.87157696811482,22486.562658974435,428.2241379310345
1786559846,50,,Aggregated,3.900000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,177,0,14000,13120.933587393542,156.87157696811482,22486.562658974435,428.17514124293785
1786559847,50,,Aggregated,3.600000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,179,0,14000,13167.910542187878,156.87157696811482,22486.562658974435,428.122905027933
1786559848,50,,Aggregated,3.600000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,179,0,14000,13167.910542187878,156.87157696811482,22486.562658974435,428.122905027933
1786559849,50,,Aggregated,3.400000,0.000000,14000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,180,0,14000,13174.781414397876,156.87157696811482,22486.562658974435,428.14444444444445
1786559850,50,,Aggregated,3.500000,0.000000,15000,17000,18000,18000,20000,21000,22000,22000,22000,22000,22000,182,0,14000,13214.053349805788,156.87157696811482,22486.562658974435,428.15934065934067
